colour,currency,description,image_urls,price,product_name
yellow,AUD,"Our Women's Front Tie Shirt is an easy option for up top, pair with lounge shorts, trousers or a skirt. An eye catching tie at the front elevates this essential linen piece.",https://cdn.shopify.com/s/files/1/2129/8823/products/S84-T3-Yellow-B14-White-18347-Venroy-0833_d94cb3bf-db60-4664-be4d-6c1a084dce1b_2000x.jpg?v=1590465526>>https://cdn.shopify.com/s/files/1/2129/8823/products/S84-T3-Yellow-B14-White-18347-Venroy-0835_99fcaf7c-c02b-4f33-a330-e4da65ff8af2_2000x.jpg?v=1590465526>>https://cdn.shopify.com/s/files/1/2129/8823/products/S84-T3-Yellow-B14-White-18347-Venroy-0833_copy_2000x.jpg?v=1590465526>>https://cdn.shopify.com/s/files/1/2129/8823/products/S7-T3-18347-Venroy-0025_2000x.jpg?v=1590465526,110.0,Womens front tie shirt
summer stripe,AUD,"Crop short sleeve summer shirt with front tie feature
 - Classic shirt collar
 - Short sleeve length with
 - Functional button down front
 - Extended front tie feature
 - Can be styled to the back or front",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_2_7_2000x.jpg?v=1590465728>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_2_9_2000x.jpg?v=1590465728>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_2_10_2000x.jpg?v=1590465728>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_2_8_2000x.jpg?v=1590465728,125.0,Front tie shirt
navy paisley,AUD,"Our signature swim short in the limited edition Navy Paisley print. Born on the beaches of Sydney, he's a stand up mate who'll be with you through thick and thin.",https://cdn.shopify.com/s/files/1/2129/8823/products/f7a1b3de3f9afd03c5d7aae729a9ea34_2000x.jpg?v=1529347309>>https://cdn.shopify.com/s/files/1/2129/8823/products/e3c8b2dcaae5cbc9a10444d8b5056638_e934dd47-122d-43cb-855e-21c4986555fd_2000x.jpg?v=1529347309,85.0,Swim short
navy,AUD,"Comfortable lightweight signature linen collared shirt with double breast pocket feature
 - Double functional breast pockets
 - Functional button down torso
 - Full length straight relaxed fit sleeve
 - Wide cuffs with triple button closure",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_85_2000x.jpg?v=1590465930>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_86_2000x.jpg?v=1590465930>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_87_2000x.jpg?v=1590465930,130.0,Womens pocket shirt
geo print,AUD,"Silk Twill camp collar short sleeve shirt with geo print
 - Traditional camp collar
 - Functional button down front for entry
 - Relaxed boxy fit
 - Short sleeve length
 - Front pocket on left hand side
 - Pure silk twill weave fabrication with subtle surface texture",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_4_8_2000x.jpg?v=1575331816>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_4_9_2000x.jpg?v=1575331816>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_4_10_2000x.jpg?v=1575331816>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_15_3b4dd7bb-150f-4d6c-9c87-c7e9542119e5_2000x.jpg?v=1575956792,280.0,Camp collar silk shirt
navy,AUD,"Cotton camp collar short sleeve shirt with contrast top stitch detail
 - Lightweight Japanese cotton poplin fabrication
 - Traditional camp collar
 - Functional button down front for entry
 - Relaxed boxy fit
 - Hip length hem
 - Short sleeve with contrast top stitch
 - Front pocket on left hand side with contrast top stitch
 - Contrast top stitch down the sides",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_100_2000x.jpg?v=1574648223>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_101_2000x.jpg?v=1574648223>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_102_2000x.jpg?v=1574648223,150.0,Poplin camp collar shirt
multi stripe,AUD,"Cotton camp collar short sleeve shirt
 - Traditional camp collar
 - Functional button down front for entry
 - Relaxed boxy fit
 - Hip length hem
 - Short sleeve
 - Front pocket on left hand side",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_3_1_9564362f-e8e4-47f0-a3a3-0cbeb413e956_2000x.jpg?v=1575002815>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_3_12_ca7a5e69-b22f-4e11-9240-87739615cb48_2000x.jpg?v=1575002815>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_3_13_c0fe380d-95e4-41c5-b1ae-5f310188b207_2000x.jpg?v=1575002815>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_4_2000x.jpg?v=1575002815>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_5_2000x.jpg?v=1575002815>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_6_2000x.jpg?v=1575002815,150.0,Poplin camp collar shirt
light-pink,AUD,"Our Womens Tencel Linen Short Sleeve Shirt is inspired from our Mens style. The noticeable difference is in the touch, our Tencel Linen hybrid offers a softer, floatier lightweight feel. Ideally comfortable and airy for warm, summer days... without sacrificing style. Designed to sit loose, a relaxed, jet-setter vibe.",https://cdn.shopify.com/s/files/1/2129/8823/products/S82-T4-Pink-X-Pink-18347-Venroy-0807_212c7961-08c1-4cf4-840d-32748d723d33_2000x.jpg?v=1590465531>>https://cdn.shopify.com/s/files/1/2129/8823/products/S82-T4-Pink-X-Pink-18347-Venroy-0809_0113e08e-0267-4aa3-84a5-4ae578c7c80e_2000x.jpg?v=1590465531>>https://cdn.shopify.com/s/files/1/2129/8823/products/S9-T4-18347-Venroy-0028_2000x.jpg?v=1590465531,100.0,Tencel short sleeve shirt
white,AUD,"Short sleeve camp collar shirt with with D-ring feature
 - Traditional camp collar
 - Functional chest pocket feature
 - Pocket finished with contrast grosgrain and d-ring detail
 - Functional button down front for entry
 - Relaxed fit on the body
 - Hip length hem
 - Short sleeve",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_1_109_2000x.jpg?v=1580366216>>https://cdn.shopify.com/s/files/1/2129/8823/products/W_VENROY_CAMP_ECOMM_7_2000x.jpg?v=1581914300>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_1_111_98356dfe-735d-4060-88a8-2624a22f7ed0_2000x.jpg?v=1581914300>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_1_107_dc729948-e3da-4881-b976-af79ffc44b0b_2000x.jpg?v=1581914300>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_1_117_2000x.jpg?v=1581914300,150.0,D-ring camp collar
cornflower blue,AUD,"Off shoulder floor length summer dress with adjustable rouleau shoulder ties
 - Elasticised off shoulder neckline with ruffle detail
 - Off shoulder mini sleeves
 - Adjustable rouleau straps
 - Full length hem
 - Side split feature on right and left
 - Relaxed flowy fit on the body
 - Raw hemline with triple top stitching detail to prevent fraying",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_15_2000x.jpg?v=1590466064>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_16_2000x.jpg?v=1590466064>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_17_2000x.jpg?v=1590466064>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_19_2000x.jpg?v=1590466064>>https://cdn.shopify.com/s/files/1/2129/8823/products/WOMENS_E-COMM_CAMPAIGN_2000x.jpg?v=1590466064>>https://cdn.shopify.com/s/files/1/2129/8823/products/WOMENS_E-COMM_CAMPAIGN_1_2000x.jpg?v=1590466064>>https://cdn.shopify.com/s/files/1/2129/8823/products/WOMENS_E-COMM_CAMPAIGN_2_2000x.jpg?v=1590466064,160.0,Strapless maxi dress
